image_id class_id super_class_id path
1 1 1 nike-943307-006-revolution-4-sd-ps-yuruyus-kosu-spor-ayakkabi-P348824191/1_0.jpg
2 1 1 nike-943307-006-revolution-4-sd-ps-yuruyus-kosu-spor-ayakkabi-P348824191/0_0.jpg
3 1 1 nike-943307-006-revolution-4-sd-ps-yuruyus-kosu-spor-ayakkabi-P348824191/2_0.jpg
4 2 1 kadin-abiye-tasli-stiletto-ayakkabi-P409976775/1_0.jpg
5 2 1 kadin-abiye-tasli-stiletto-ayakkabi-P409976775/0_0.jpg
6 2 1 kadin-abiye-tasli-stiletto-ayakkabi-P409976775/2_0.jpg
7 3 1 adidas-runfalcon-k-kosu-ayakkabisi-P328707328/0_0.jpg
8 3 1 adidas-runfalcon-k-kosu-ayakkabisi-P328707328/5_0.jpg
9 3 1 adidas-runfalcon-k-kosu-ayakkabisi-P328707328/4_0.jpg
10 3 1 adidas-runfalcon-k-kosu-ayakkabisi-P328707328/2_0.jpg
11 3 1 adidas-runfalcon-k-kosu-ayakkabisi-P328707328/3_0.jpg
12 4 1 kinetix-yanni-gri-neon-turuncu-erkek-cocuk-kosu-ayakkabisi-P332032364/1_0.jpg
13 4 1 kinetix-yanni-gri-neon-turuncu-erkek-cocuk-kosu-ayakkabisi-P332032364/0_0.jpg
14 4 1 kinetix-yanni-gri-neon-turuncu-erkek-cocuk-kosu-ayakkabisi-P332032364/2_0.jpg
15 5 1 yeni-sezon-gunluk-erkek-ayakkabilari-P362872714/1_0.jpg
16 5 1 yeni-sezon-gunluk-erkek-ayakkabilari-P362872714/0_0.jpg
17 5 1 yeni-sezon-gunluk-erkek-ayakkabilari-P362872714/1_1.jpg
18 6 1 kemal-tanca-erkek-deri-klasik-ayakkabi-693-1368-ev-erk-ayk-P409638633/1_0.jpg
19 6 1 kemal-tanca-erkek-deri-klasik-ayakkabi-693-1368-ev-erk-ayk-P409638633/0_0.jpg
20 6 1 kemal-tanca-erkek-deri-klasik-ayakkabi-693-1368-ev-erk-ayk-P409638633/3_1.jpg
21 6 1 kemal-tanca-erkek-deri-klasik-ayakkabi-693-1368-ev-erk-ayk-P409638633/2_0.jpg
22 6 1 kemal-tanca-erkek-deri-klasik-ayakkabi-693-1368-ev-erk-ayk-P409638633/3_0.jpg
23 7 1 platfom-topuklu-siyah-tokali-postal-kadin-bot-finday-P398043835/1_0.jpg
24 7 1 platfom-topuklu-siyah-tokali-postal-kadin-bot-finday-P398043835/0_0.jpg
25 7 1 platfom-topuklu-siyah-tokali-postal-kadin-bot-finday-P398043835/1_1.jpg
26 8 1 jump-24289-hali-saha-erkek-cocuk-futbol-ayakkabi-neon-yesil-siyah-P373878354/1_0.jpg
27 8 1 jump-24289-hali-saha-erkek-cocuk-futbol-ayakkabi-neon-yesil-siyah-P373878354/0_0.jpg
28 8 1 jump-24289-hali-saha-erkek-cocuk-futbol-ayakkabi-neon-yesil-siyah-P373878354/4_0.jpg
29 8 1 jump-24289-hali-saha-erkek-cocuk-futbol-ayakkabi-neon-yesil-siyah-P373878354/2_0.jpg
30 9 1 adidas-rapidarun-k-cocuk-ayakkabi-cq0148-P418622260/1_0.jpg
31 9 1 adidas-rapidarun-k-cocuk-ayakkabi-cq0148-P418622260/0_0.jpg
32 9 1 adidas-rapidarun-k-cocuk-ayakkabi-cq0148-P418622260/5_0.jpg
33 9 1 adidas-rapidarun-k-cocuk-ayakkabi-cq0148-P418622260/2_0.jpg
34 9 1 adidas-rapidarun-k-cocuk-ayakkabi-cq0148-P418622260/6_0.jpg
35 9 1 adidas-rapidarun-k-cocuk-ayakkabi-cq0148-P418622260/3_0.jpg
36 10 1 samira-rugan-zebra-desen-stiletto-ayakkabi-P406935321/1_0.jpg
37 10 1 samira-rugan-zebra-desen-stiletto-ayakkabi-P406935321/1_1.jpg
38 10 1 samira-rugan-zebra-desen-stiletto-ayakkabi-P406935321/2_0.jpg
39 10 1 samira-rugan-zebra-desen-stiletto-ayakkabi-P406935321/2_1.jpg
40 10 1 samira-rugan-zebra-desen-stiletto-ayakkabi-P406935321/3_0.jpg
41 11 1 nike-team-hustle-d8-cocuk-basketbol-ayakkabisi-881941-405-P293109017/1_0.jpg
42 11 1 nike-team-hustle-d8-cocuk-basketbol-ayakkabisi-881941-405-P293109017/0_0.jpg
43 11 1 nike-team-hustle-d8-cocuk-basketbol-ayakkabisi-881941-405-P293109017/4_0.jpg
44 11 1 nike-team-hustle-d8-cocuk-basketbol-ayakkabisi-881941-405-P293109017/4_1.jpg
45 11 1 nike-team-hustle-d8-cocuk-basketbol-ayakkabisi-881941-405-P293109017/2_0.jpg
46 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/1_0.jpg
47 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/0_0.jpg
48 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/5_0.jpg
49 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/3_1.jpg
50 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/1_1.jpg
51 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/2_0.jpg
52 12 1 nike-bq5671-003-revolution-5-gs-kadin-kosu-yuruyus-ayakkabisi-s-P412693293/3_0.jpg
53 13 1 adidas-kadin-gunluk-ayakkabi-fv3408-falcon-w_pdp_583805098/1_0.jpg
54 13 1 adidas-kadin-gunluk-ayakkabi-fv3408-falcon-w_pdp_583805098/0_0.jpg
55 13 1 adidas-kadin-gunluk-ayakkabi-fv3408-falcon-w_pdp_583805098/3_1.jpg
56 13 1 adidas-kadin-gunluk-ayakkabi-fv3408-falcon-w_pdp_583805098/2_0.jpg
